2025-07-19 11:49:49 - GET /docs | Status: 200 | Success: True | Took: 0.0095s
[2025-07-26 12:56:47] DELETE /pokemon/4 | 👤 InvalidToken | 📍 testclient | Status: 200 | ⏱️ 0.0156s
[2025-07-26 13:05:18] POST /login | 👤 Unknown | 📍 testclient | Status: 307 | ⏱️ 0.0s
[2025-07-26 13:05:18] POST /login | 👤 Unknown | 📍 testclient | Status: 404 | ⏱️ 0.0s
[2025-07-26 13:05:18] POST /login | 👤 Unknown | 📍 testclient | Status: 307 | ⏱️ 0.0s
[2025-07-26 13:05:18] POST /login | 👤 Unknown | 📍 testclient | Status: 404 | ⏱️ 0.0s
[2025-07-26 13:05:18] POST /login | 👤 Unknown | 📍 testclient | Status: 307 | ⏱️ 0.0s
[2025-07-26 13:05:18] POST /login | 👤 Unknown | 📍 testclient | Status: 404 | ⏱️ 0.0s
[2025-07-26 13:05:18] POST /login | 👤 Unknown | 📍 testclient | Status: 307 | ⏱️ 0.0s
[2025-07-26 13:05:18] POST /login | 👤 Unknown | 📍 testclient | Status: 404 | ⏱️ 0.0s
[2025-07-26 13:05:18] POST /login | 👤 Unknown | 📍 testclient | Status: 307 | ⏱️ 0.0s
[2025-07-26 13:05:18] POST /login | 👤 Unknown | 📍 testclient | Status: 404 | ⏱️ 0.0s
[2025-07-26 13:08:23] POST /auth/login | 👤 Unknown | 📍 testclient | Status: 307 | ⏱️ 0.0s
[2025-07-26 13:08:23] POST /auth/login | 👤 Unknown | 📍 testclient | Status: 401 | ⏱️ 0.0051s
[2025-07-26 13:08:23] POST /auth/login | 👤 Unknown | 📍 testclient | Status: 307 | ⏱️ 0.0s
[2025-07-26 13:08:23] POST /auth/login | 👤 Unknown | 📍 testclient | Status: 401 | ⏱️ 0.002s
[2025-07-26 13:08:23] POST /auth/login | 👤 Unknown | 📍 testclient | Status: 307 | ⏱️ 0.0s
[2025-07-26 13:08:23] POST /auth/login | 👤 Unknown | 📍 testclient | Status: 401 | ⏱️ 0.0038s
[2025-07-26 13:08:23] POST /auth/login | 👤 Unknown | 📍 testclient | Status: 307 | ⏱️ 0.0s
[2025-07-26 13:08:23] POST /auth/login | 👤 Unknown | 📍 testclient | Status: 401 | ⏱️ 0.0s
[2025-07-26 13:08:23] POST /auth/login | 👤 Unknown | 📍 testclient | Status: 307 | ⏱️ 0.001s
[2025-07-26 13:08:23] POST /auth/login | 👤 Unknown | 📍 testclient | Status: 401 | ⏱️ 0.004s
[2025-07-26 13:09:39] POST /auth/login | 👤 Unknown | 📍 testclient | Status: 307 | ⏱️ 0.0s
[2025-07-26 13:09:39] POST /auth/login | 👤 Unknown | 📍 testclient | Status: 200 | ⏱️ 0.0363s
[2025-07-26 13:09:39] POST /team/25 | 👤 InvalidToken | 📍 testclient | Status: 307 | ⏱️ 0.001s
[2025-07-26 13:09:39] POST /team/25 | 👤 InvalidToken | 📍 testclient | Status: 404 | ⏱️ 0.011s
[2025-07-26 13:09:39] POST /auth/login | 👤 Unknown | 📍 testclient | Status: 307 | ⏱️ 0.0s
[2025-07-26 13:09:39] POST /auth/login | 👤 Unknown | 📍 testclient | Status: 200 | ⏱️ 0.0s
[2025-07-26 13:09:40] GET /team | 👤 InvalidToken | 📍 testclient | Status: 307 | ⏱️ 0.0s
[2025-07-26 13:09:40] GET /team | 👤 InvalidToken | 📍 testclient | Status: 307 | ⏱️ 0.0s
[2025-07-26 13:09:40] GET /team/ | 👤 InvalidToken | 📍 testclient | Status: 200 | ⏱️ 0.0199s
[2025-07-26 13:09:40] POST /auth/login | 👤 Unknown | 📍 testclient | Status: 307 | ⏱️ 0.0s
[2025-07-26 13:09:40] POST /auth/login | 👤 Unknown | 📍 testclient | Status: 200 | ⏱️ 0.0s
[2025-07-26 13:09:40] DELETE /team/25 | 👤 InvalidToken | 📍 testclient | Status: 307 | ⏱️ 0.0s
[2025-07-26 13:09:40] DELETE /team/25 | 👤 InvalidToken | 📍 testclient | Status: 404 | ⏱️ 0.0023s
[2025-07-26 13:09:40] POST /auth/login | 👤 Unknown | 📍 testclient | Status: 307 | ⏱️ 0.0s
[2025-07-26 13:09:40] POST /auth/login | 👤 Unknown | 📍 testclient | Status: 200 | ⏱️ 0.003s
[2025-07-26 13:09:40] POST /team/7 | 👤 InvalidToken | 📍 testclient | Status: 307 | ⏱️ 0.0s
[2025-07-26 13:09:40] POST /team/7 | 👤 InvalidToken | 📍 testclient | Status: 201 | ⏱️ 0.004s
[2025-07-26 13:09:40] POST /team/7 | 👤 InvalidToken | 📍 testclient | Status: 307 | ⏱️ 0.0005s
[2025-07-26 13:09:40] POST /team/7 | 👤 InvalidToken | 📍 testclient | Status: 409 | ⏱️ 0.0107s
[2025-07-26 13:09:40] POST /auth/login | 👤 Unknown | 📍 testclient | Status: 307 | ⏱️ 0.0s
[2025-07-26 13:09:40] POST /auth/login | 👤 Unknown | 📍 testclient | Status: 200 | ⏱️ 0.003s
[2025-07-26 13:09:40] DELETE /team/150 | 👤 InvalidToken | 📍 testclient | Status: 307 | ⏱️ 0.0s
[2025-07-26 13:09:40] DELETE /team/150 | 👤 InvalidToken | 📍 testclient | Status: 404 | ⏱️ 0.003s
[2025-07-26 13:13:09] POST /auth/login | 👤 Unknown | 📍 testclient | Status: 307 | ⏱️ 0.0s
[2025-07-26 13:13:09] POST /auth/login | 👤 Unknown | 📍 testclient | Status: 200 | ⏱️ 0.0262s
[2025-07-26 13:13:09] POST /team/1 | 👤 InvalidToken | 📍 testclient | Status: 307 | ⏱️ 0.0s
[2025-07-26 13:13:09] POST /team/1 | 👤 InvalidToken | 📍 testclient | Status: 201 | ⏱️ 0.0037s
[2025-07-26 13:13:09] POST /auth/login | 👤 Unknown | 📍 testclient | Status: 307 | ⏱️ 0.0s
[2025-07-26 13:13:09] POST /auth/login | 👤 Unknown | 📍 testclient | Status: 200 | ⏱️ 0.002s
[2025-07-26 13:13:09] GET /team | 👤 InvalidToken | 📍 testclient | Status: 307 | ⏱️ 0.001s
[2025-07-26 13:13:09] GET /team | 👤 InvalidToken | 📍 testclient | Status: 307 | ⏱️ 0.001s
[2025-07-26 13:13:09] GET /team/ | 👤 InvalidToken | 📍 testclient | Status: 200 | ⏱️ 0.0s
[2025-07-26 13:13:09] POST /auth/login | 👤 Unknown | 📍 testclient | Status: 307 | ⏱️ 0.0s
[2025-07-26 13:13:09] POST /auth/login | 👤 Unknown | 📍 testclient | Status: 200 | ⏱️ 0.0081s
[2025-07-26 13:13:09] DELETE /team/1 | 👤 InvalidToken | 📍 testclient | Status: 307 | ⏱️ 0.0s
[2025-07-26 13:13:09] DELETE /team/1 | 👤 InvalidToken | 📍 testclient | Status: 200 | ⏱️ 0.0s
[2025-07-26 13:13:09] POST /auth/login | 👤 Unknown | 📍 testclient | Status: 307 | ⏱️ 0.0s
[2025-07-26 13:13:09] POST /auth/login | 👤 Unknown | 📍 testclient | Status: 200 | ⏱️ 0.0s
[2025-07-26 13:13:09] POST /team/1 | 👤 InvalidToken | 📍 testclient | Status: 307 | ⏱️ 0.0s
[2025-07-26 13:13:09] POST /team/1 | 👤 InvalidToken | 📍 testclient | Status: 201 | ⏱️ 0.002s
[2025-07-26 13:13:09] POST /team/1 | 👤 InvalidToken | 📍 testclient | Status: 307 | ⏱️ 0.001s
[2025-07-26 13:13:09] POST /team/1 | 👤 InvalidToken | 📍 testclient | Status: 409 | ⏱️ 0.0049s
