[2025-07-27 01:25:46,630] [ERROR] ❌ Image not found: C:\Users\user\Documents\fastapi_project\uploads\images\does_not_exist.png
[2025-07-27 01:25:46,630] [ERROR] GET /download/image/does_not_exist.png → 404: Image not found.
[2025-07-27 01:25:46,676] [ERROR] ❌ File not found: C:\Users\user\Documents\fastapi_project\uploads\log
[2025-07-27 01:25:46,676] [ERROR] GET /download/log → 404: Requested file not found.
[2025-07-27 01:27:55,889] [ERROR] ❌ File not found: C:\Users\user\Documents\fastapi_project\uploads\log
[2025-07-27 01:27:55,890] [ERROR] GET /download/log → 404: Requested file not found.
[2025-07-27 01:27:56,187] [ERROR] ❌ Image not found: C:\Users\user\Documents\fastapi_project\uploads\images\does_not_exist.png
[2025-07-27 01:27:56,187] [ERROR] GET /download/image/does_not_exist.png → 404: Image not found.
[2025-07-27 01:27:56,229] [ERROR] ❌ File not found: C:\Users\user\Documents\fastapi_project\uploads\log
[2025-07-27 01:27:56,229] [ERROR] GET /download/log → 404: Requested file not found.
[2025-07-27 01:35:58,944] [ERROR] ❌ Image not found: C:\Users\user\Documents\fastapi_project\uploads\images\does_not_exist.png
[2025-07-27 01:35:58,945] [ERROR] GET /download/image/does_not_exist.png → 404: Image not found.
[2025-07-27 01:35:58,984] [ERROR] ❌ Battle log not found: nonexistent_logs\battle_log.txt
[2025-07-27 01:35:58,984] [ERROR] GET /download/log → 404: Battle log not found.
[2025-07-27 01:38:18,647] [ERROR] ❌ Image not found: C:\Users\user\Documents\fastapi_project\uploads\images\does_not_exist.png
[2025-07-27 01:38:18,655] [ERROR] GET /download/image/does_not_exist.png → 404: Image not found.
[2025-07-27 01:38:18,699] [ERROR] ❌ Battle log not found: nonexistent_logs\battle_log.txt
[2025-07-27 01:38:18,699] [ERROR] GET /download/log → 404: Battle log not found.
[2025-07-27 20:01:35,532] [ERROR] ❌ Login failed for user 'ashketchum' – Invalid credentials
[2025-07-27 20:01:35,615] [ERROR] ❌ Invalid refresh token attempt: 4265cbc2-7ae4-4d4a-89f3-0ec7b3df7054
[2025-07-27 20:01:35,686] [ERROR] ⛔ Token decode error.
[2025-07-28 01:39:07,131] [ERROR] ❌ Login failed for user 'ashketchum' – Invalid credentials
[2025-07-28 01:39:07,209] [ERROR] ❌ Invalid refresh token attempt: f9035016-8fec-4a05-9294-53ca4eb3e76a
[2025-07-28 01:39:07,261] [ERROR] ⛔ Token decode error.
[2025-07-28 01:43:22,606] [ERROR] ⛔ Token decode error.
[2025-07-28 01:46:24,092] [ERROR] ⛔ Token decode error.
[2025-07-28 10:54:31,658] [ERROR] ⛔ Token decode error.
[2025-07-28 11:06:53,760] [ERROR] ⛔ Token decode error.
[2025-07-28 11:08:05,050] [ERROR] ⛔ Token decode error.
[2025-07-28 11:12:33,127] [ERROR] ⛔ Token decode error.
[2025-07-28 11:16:43,959] [ERROR] Login failed for 'ashketchum' – Invalid credentials
[2025-07-28 11:16:44,051] [ERROR] Invalid refresh token
[2025-07-28 11:19:41,953] [ERROR] Login failed for 'ashketchum' – Invalid credentials
[2025-07-28 11:19:42,003] [ERROR] Invalid refresh token
[2025-07-28 12:08:48,940] [ERROR] Login failed for 'ashketchum' – Invalid credentials
[2025-07-28 12:08:49,032] [ERROR] Invalid refresh token
[2025-07-28 18:17:22,647] [ERROR] Login failed for 'ashketchum' – Invalid credentials
[2025-07-28 18:17:22,710] [ERROR] Invalid refresh token
[2025-07-28 19:14:24,902] [ERROR] Invalid refresh token
[2025-07-28 19:18:59,404] [ERROR] Login failed for 'ashketchum' – Invalid credentials
[2025-07-28 19:18:59,404] [ERROR] POST /auth/login → 401: Invalid credentials
[2025-07-28 19:18:59,481] [ERROR] Invalid refresh token
[2025-07-28 19:18:59,481] [ERROR] POST /auth/refresh-token → 401: Invalid or expired refresh token
[2025-07-28 19:18:59,541] [ERROR] GET /auth/whoami → 403: Not authenticated
